,cost,area
0,102000,center
1,43210,center
2,70000,north
3,57000,north
4,38500,north
5,17000,center
6,49000,north
7,63000,north
8,78000,center
9,29500,center
10,8500,center
11,94000,north
12,27000,south
13,57999,south
14,69000,center
15,78000,north
16,70000,center
17,29000,center
18,94800,center
19,73000,center
20,65000,north
21,36000,north
22,14500,center
23,82000,center
24,65000,jerusalem
25,18500,center
26,23000,center
27,56000,north
28,75000,center
29,95000,center
30,30000,north
31,25000,center
32,75900,center
33,14500,north
34,14500,center
35,20000,center
36,67000,north
37,47000,center
38,54000,center
40,61000,north
41,14000,center
42,5900,center
43,73000,north
44,10000,center
45,22000,jerusalem
46,35000,north
47,197000,north
48,55000,center
49,72000,north
50,65000,north
51,6500,center
52,39900,jerusalem
53,96000,north
54,60000,north
55,22000,north
56,89000,center
57,78000,center
58,86000,north
59,50000,center
60,86000,jerusalem
61,49000,center
62,27000,center
63,66900,center
64,65000,center
65,23000,center
66,25000,north
67,152000,jerusalem
68,17000,north
69,9500,north
70,127000,north
71,93000,north
72,105000,north
73,69000,center
74,94000,center
75,27000,north
76,36000,north
77,35000,north
78,43000,center
79,71000,center
80,18500,center
81,62500,north
82,93000,north
83,24000,south
84,8500,north
85,28000,center
86,110500,center
87,46000,center
88,88000,jerusalem
89,9900,jerusalem
90,109500,north
91,66000,north
92,134000,center
94,35000,jerusalem
95,103000,center
97,65000,jerusalem
98,87000,center
99,39900,south
100,8990,jerusalem
101,59000,south
102,105000,north
103,24000,center
104,55000,north
108,22000,center
109,29000,center
110,20000,center
111,30000,center
112,35000,north
114,110000,center
116,54000,north
117,60000,south
118,34000,south
119,90000,center
120,86000,center
122,32000,center
123,38000,center
124,25000,center
125,7990,jerusalem
126,56000,center
127,37000,center
128,35000,north
129,16000,north
130,29000,center
131,110000,north
132,23000,north
133,20000,center
134,23000,north
135,99000,center
136,23000,north
137,10000,jerusalem
138,20000,north
139,37000,center
140,40000,jerusalem
144,80000,center
145,42000,center
146,40000,center
147,114500,center
148,43000,jerusalem
150,50900,center
151,30000,north
152,12000,center
153,86000,north
154,145000,center
155,44000,north
156,20000,center
157,69000,center
158,39500,jerusalem
159,87000,center
160,1900,north
161,32000,center
163,18000,center
164,36600,center
165,48000,center
166,29000,center
167,135000,north
168,25000,north
169,45000,center
170,105000,center
171,35000,south
172,58900,center
173,19000,center
174,61000,center
175,79000,center
176,35000,center
177,88000,south
178,39000,south
179,27000,north
180,5500,center
181,41000,center
183,90000,center
185,69000,north
186,42000,north
187,20000,north
188,75000,south
189,28000,center
190,65000,north
191,25000,center
192,27000,jerusalem
193,41000,jerusalem
194,30500,north
195,54900,center
196,18000,north
197,75000,north
199,45000,center
200,17000,south
202,84000,north
203,49000,center
204,35000,center
205,24000,north
206,59000,center
207,49000,center
208,15000,center
209,105000,north
210,95000,center
211,8500,center
212,83000,center
213,115000,north
214,30000,center
215,180000,north
216,165000,north
217,37000,jerusalem
218,25000,center
219,60000,center
220,200000,center
221,67000,north
222,88000,center
223,25000,north
224,165000,north
225,200000,north
226,32000,center
227,110000,center
228,27000,north
229,17000,north
230,55000,north
231,60555,center
232,60000,center
233,195000,north
234,37000,jerusalem
235,30000,jerusalem
236,194000,center
237,180000,north
238,80000,north
239,107000,center
240,45000,north
241,172000,north
242,5000,south
243,17500,south
244,10000,center
245,125000,jerusalem
246,60000,south
247,90000,center
248,70000,center
249,100000,south
250,110000,south
251,170000,jerusalem
252,19000,center
253,80000,center
254,110000,center
255,46000,north
256,110000,south
257,100000,jerusalem
259,25000,center
263,3500,north
266,18000,center
267,55000,jerusalem
268,52000,center
269,60000,center
270,69000,north
271,23000,center
273,130000,south
274,42400,south
276,69000,center
277,95000,south
279,119999,center
283,130000,center
284,47000,north
285,20000,jerusalem
286,90000,south
287,185000,center
292,119999,center
295,86000,center
297,22000,center
298,65000,north
299,122000,center
300,130000,jerusalem
301,22000,center
304,51000,center
307,20000,jerusalem
309,37000,center
310,38500,center
311,68000,center
313,145000,center
314,28000,center
315,30000,north
316,35000,center
317,65000,center
319,50000,south
321,32000,south
322,59999,north
323,5500,jerusalem
324,50000,north
328,45000,center
329,52000,center
330,12000,north
331,28000,north
332,10000,center
334,65000,north
336,105000,center
337,32000,center
338,70000,north
339,80000,jerusalem
340,23000,center
343,39000,jerusalem
345,43000,south
346,79900,center
348,72000,south
349,89000,south
350,22500,north
351,5500,jerusalem
352,28000,north
353,60000,south
357,52000,center
358,76000,south
360,47500,jerusalem
361,34000,jerusalem
363,62000,north
364,200000,south
365,9500,center
367,130000,south
372,48000,center
373,60000,jerusalem
374,65000,center
375,29000,center
376,33000,center
377,45000,center
378,55000,north
379,28000,center
380,17000,north
382,117000,center
383,20000,center
384,100000,north
386,12000,jerusalem
387,168000,center
388,150000,jerusalem
389,110000,south
391,4000,center
392,33000,center
394,70000,center
395,19000,north
399,15000,north
400,1000,center
401,30000,center
402,115000,north
403,139500,center
404,32000,north
406,75000,north
407,67000,center
408,53000,north
409,100000,center
410,120000,north
411,50000,north
413,104000,south
414,114000,north
416,18000,north
417,97000,north
418,19500,south
420,195000,center
421,84000,north
422,104000,center
423,31900,north
424,96000,center
425,165000,center
426,119000,center
427,127500,south
428,111000,center
429,49900,north
430,70000,center
431,130000,south
432,162000,jerusalem
433,79900,north
434,85000,north
435,48000,north
436,142000,jerusalem
437,95900,center
438,159000,center
439,32000,north
440,89700,north
441,65000,north
442,29000,north
443,110000,north
444,200000,south
446,97000,north
447,94000,north
448,32900,center
449,85000,north
450,86000,center
451,95000,north
452,148000,center
453,178000,north
454,76000,north
455,45000,south
456,154000,center
457,68000,center
458,136000,north
459,119000,south
460,102000,south
461,172000,center
462,118000,center
464,88000,center
465,126500,north
466,107000,north
467,110000,center
469,87000,north
471,73000,north
472,96000,north
473,131000,north
474,138000,north
475,29000,north
476,92000,center
477,81000,north
478,190000,center
479,72000,center
480,123000,center
482,146000,south
485,136000,north
486,110000,center
488,135000,south
489,40000,south
492,55000,south
493,78000,north
498,100000,south
500,99000,south
501,142000,north
503,61500,jerusalem
504,115000,north
505,120000,center
506,80000,center
507,130000,center
509,88000,south
512,170000,south
513,37000,north
516,128000,north
518,182000,jerusalem
519,109500,center
520,80000,center
521,105000,center
522,100005,north
524,100000,center
525,30000,center
526,107000,center
527,75000,south
528,195000,north
531,100000,center
532,82000,center
533,118000,north
534,48500,jerusalem
535,44500,jerusalem
538,155000,south
539,38500,center
540,140000,north
541,93000,jerusalem
542,70000,center
543,190000,south
545,48000,center
546,104999,jerusalem
547,75000,north
549,17000,north
550,43500,center
551,133500,center
552,135000,center
555,22000,center
557,33000,south
558,106000,jerusalem
562,20000,north
563,99000,jerusalem
567,30000,center
569,62000,south
570,130000,north
571,69000,center
572,75000,center
573,135000,center
574,110000,jerusalem
575,93000,north
576,29000,jerusalem
577,40000,center
578,53000,jerusalem
579,58000,center
580,143000,north
581,40000,north
583,96000,center
584,51000,north
585,26000,south
586,40000,center
587,199000,south
588,97000,north
589,145000,north
590,43000,south
591,48000,center
592,40000,jerusalem
593,45000,north
594,185000,jerusalem
595,73000,jerusalem
596,44000,north
598,109000,center
599,167000,center
600,105000,north
602,140000,north
604,105000,north
605,100000,center
606,30000,north
607,90000,north
608,200000,south
610,160000,north
612,172000,center
613,69000,jerusalem
615,140000,jerusalem
616,95000,north
617,110000,center
618,60000,south
619,179055,south
622,117000,north
623,200000,jerusalem
624,170000,south
625,145000,north
626,40000,north
629,60000,south
630,85000,north
631,8900,jerusalem
632,53000,jerusalem
633,86000,jerusalem
634,36100,north
635,130000,center
636,115000,center
637,35000,north
638,40000,south
639,140000,jerusalem
640,145000,center
642,140000,center
643,120000,center
644,120000,north
645,45000,center
646,70000,center
649,115000,jerusalem
650,100000,center
651,115000,center
652,40000,south
654,175000,south
655,37000,center
657,1000,center
658,40000,north
659,48000,jerusalem
669,70000,jerusalem
673,49000,north
682,1000,north
683,110000,south
684,20000,north
687,49000,north
688,65000,south
689,170000,south
691,30000,south
692,80000,north
695,52000,north
697,50000,south
698,33000,center
700,20000,north
702,9500,center
718,52000,north
719,33000,center
721,1111,north
724,142500,jerusalem
725,50000,center
728,120000,north
729,60000,jerusalem
732,18000,center
733,28000,north
735,165000,north
736,64000,center
738,1000,south
743,1111,north
745,105000,north
752,120000,north
754,50000,center
755,120000,north
762,180000,center
764,175000,center
765,85000,center
770,120000,north
772,195000,north
778,46000,center
781,65000,north
782,200000,center
783,30000,center
785,40000,north
787,95000,north
788,90000,center
790,27000,center
791,70000,center
792,110000,center
793,142000,south
794,30000,north
796,97100,center
797,68000,north
798,65000,south
